place,age0004,age0517,age1844,age4564,age65plus
alachua,176,103,117,62,64
alachuacilow,118,73,99,45,40
alachuacihigh,264,145,138,86,102
region3,1693,600,295,91,80
region3cilow,1621,573,282,84,71
region3cihigh,1758,627,308,100,91
florida,1646,523,265,106,78
floridacilow,1622,514,261,103,75
floridacihigh,1670,531,269,109,81
