place,age0004,age0517,age1844,age4564,age65plus
alachua,329,179,291,184,184
alachuacilow,247,138,262,152,139
alachuacihigh,443,233,324,222,243
region3,1930,617,505,243,202
region3cilow,1852,590,488,242,187
region3cihigh,2010,644,522,251,219
florida,2059,670,468,246,241
floridacilow,2032,660,463,242,236
floridacihigh,2087,679,474,251,247
